actual_headline,mt5_headline,mbart_headline,lstm_headline
အိန္ဒိယလယ်သမားများ ဒေလီမြို့ဆီ ငြိမ်းချမ်းစွာ ချီတက်ဆန္ဒပြမည်,အိန္ဒိယလယ်သမားများသမဂ္ဂက အနိမ့်ဆုံး ပံ့ပိုးစျေးနှုန်း (MSP) အတွက် ၅ နှစ်စာချုပ်ကမ်းလှမ်းချက် ပယ်ချ,အိန္ဒိယလယ်သမားများသမဂ္ဂက ပံ့ပိုးစျေးနှုန်းအတွက် ၅ နှစ်စာချုပ်ပယ်ချ,အိန္ဒိယသမ္မတသသသသသသသသသသသသသသ
ဘတ်သန်း ၃၀ ကျော်တန်ဖိုးရှိ တရားမဝင် အလှပြုပြင်ရေးနှင့် ဆေးပစ္စည်းများ ဖမ်းဆီးရမိ,ထိုင်းတွင် တရားမဝင် အလှပြုပြင်ရေးနှင့် ဆေးဘက်ဆိုင်ရာပစ္စည်း ဖမ်းဆီးခံရ,ထိုင်းနိုင်ငံ ဘန်ကောက်နှင့် နွန်ထပူရီတွင် ဘတ်သန်းပေါင်း ၃၀ ကျော်တန်ဖိုးရှိ တရားမဝင် အလှပြုပြင်ရေးပစ္စည်းများ ဖမ်းမိ,ထိုင်းနိုင်ငံတွင်တရားမဝင်ဝင်သည့်သည့်ခရိုင်တွင်တရားမဝင်၀၀
ဦးနှောက်ချစ်ပ်ပြားထည့်ထားသည့်လူနာက ကွန်ပျူတာမောက်စ်ကို အတွေးဖြင့် ထိန်းချုပ်နိုင်,ကွန်ပျူတာမောက်စ်ကို အတွေးဖြင့်တင် ထိန်းချုပ်နိုင်ဟု Neuralink ကုမ္ပဏီပြော,ဦးနှောက်ချစ်ပ်ပြားထည့်ထားသည့်လူနာ အပြည့်အဝ ပြန်လည်ကျန်းမာလာ,ကိုကိုကိုကိုကိုအကိုအကိုအကိုအအအအအ
တရုတ်အိမ်ခြံမြေဈေးကွက်ကို ပြန်အသက်သွင်းရန် ချေးငွေအတိုးနှုန်း လျှော့ချ,တရုတ်အိမ်ခြံမြေဈေးကွက်ကို ပြန်အသက်သွင်းရန် ရည်ညွှန်းအပေါင်ချေးငွေ ပင်မနှုန်းထား လျှော့ချ,တရုတ်အိမ်ခြံမြေဈေးကွက် ပြန်အသက်သွင်းရန် ချေးငွေလျှော့ချ,တရုတ်အရောင်းချမှတ်ရောင်းချမှတ်အရောင်းချမှတ်အအအအအအအ
ပြန်ပေးဆွဲခံရသည်ဟု လိမ်ညာခဲ့သည့် ထိုင်ဝမ်ဘလော့ဂါ ၂ ဦးကို ကမ္ဘောဒီးယားက ထောင်ဒဏ် ၂ နှစ်ချ,ကမ္ဘောဒီးယားတွင် ပြန်ပေးဆွဲခံရသည့် ထိုင်ဝမ် ဗီဒီယိုဘလော့ဂါစုံတွဲ ဖမ်းဆီးခံရ,ကမ္ဘောဒီးယားတွင် ပြန်ပေးဆွဲခံရသည့် ထိုင်ဝမ်သတင်းထောက်ကို ထောင်ဒဏ် ၂ နှစ်ချ,ကမ္ဘောဒီးယားတွင်အခံရသည့်သည့်သည့်အကိုကိုကိုကိုကိုကိုကိုစွဲ
အစ္စရေးက လက်ဘနွန်ကို လေကြောင်းတိုက်ခိုက်,အစ္စရေးနယ်စပ်တွင် လေကြောင်းတိုက်ခိုက်မှု ၂ ကြိမ်ဖြစ်ပွား,အစ္စရေး-လက်ဘနွန် လေကြောင်းတိုက်ခိုက်မှု ၂ ကြိမ်ဖြစ်ပွား,အစ္စရေးလေကြောင်းတိုက်ခိုက်မှုကြောင့်ဟစ်ဇ်ဘိုလာ
အာဖဂန်နစ္စတန်အရှေ့ပိုင်းတွင် မြေပြိုပြီး လူ ၂၅ ဦးသေဆုံး,အာဖဂန်နစ္စတန်တွင် နှင်းများ ထူထူထပ်ပြီး မြေပြိုကျ,အာဖဂန်နစ္စတန်တွင် မြေပြို,အာဖဂန်နယူးနအနီးတွင်တွင်အနီးတွင်ပြိုကျပြီးလူ၁ဦးသေ
ခင်ပွန်းကိုယ်စား ဆက်လက်တိုက်ပွဲဝင်မည်ဟု နာဗယ်လ်ညီ၏ဇနီး ကတိပြု,အလက်ဇီနာဗယ်လ်ညီ သေဆုံးမှုအတွက် သမ္မတ ဗလာဒီမာပူတင်တွင် တာဝန်ရှိ,ရုရှားအတိုက်အခံခေါင်းဆောင် နာဗယ်လ်ညီ သေဆုံးမှုအတွက် သမ္မတပူတင်၌ တာဝန်ရှိဟု ဇနီး စွပ်စွဲ,ရုဗယ်လ်အအအအအအအအအအအအအအအအအအ
တောင်ကိုရီးယားအလုပ်သင်ဆရာဝန် ထောင်ချီ သပိတ်မှောက်,"တောင်ကိုရီးယားအလုပ်သင်ဆရာဝန် ၁,၆၀၀ ကျော် သပိတ်မှောက်မှု တိုးမြှင့်မည်",တောင်ကိုရီးယားအလုပ်သင်ဆရာဝန်များ သပိတ်မှောက်,အစ္စရေးဝန်ထမ်းများကိုအတွက်အလုပ်သမားများ၀၀၀၀ကျော်
အေဒင်ပင်လယ်ကွေ့တွင် အမေရိကန်သင်္ဘော ၂ စီးကို ဟူသီစစ်သွေးကြွ တိုက်ခိုက်,ဟူသီစစ်သွေးကြွများ အမေရိကန်သင်္ဘော ၂ စီး တိုက်ခိုက်ခံရ,အမေရိကန်သင်္ဘော ၂ စီးကို ဟူသီစစ်သွေးကြွများ တိုက်ခိုက်,ပင်လယ်လယ်လယ်ကွေ့အသင်္ဘောများကိုဟူသီသူပုန်အခိုက်မှုကိုဟူသီ
ရုရှားသမ္မတ ပူတင်က ကင်မ်ဂျုံအန်းကို ကား ၁ စီး လက်ဆောင်ပေး,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်း ရုရှားသမ္မတထံမှ “ကိုယ်ရေးကိုယ်တာသုံးရန်” ကားတစီး လက်ဆောင်ရ,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်း ရုရှားသမ္မတပူတင်ထံမှ ကား ၁ စီး လက်ဆောင်ရ,ရုရှားသမ္မတဟောင်းကင်မ်ဂျုံအန်းကိုသမ္မတပူတင်
ဂါဇာတွင် ဟားမတ်စ်ခေါင်းဆောင်သစ်တင်ရန် ကြိုးပမ်းနေ,ဂါဇာကမ်းမြောင်က ဟားမတ်စ်ခေါင်းဆောင်သစ်ခန့်ရန် ဂျာဟ်ယာဆင်ဝါနှင့် အဆက်အသွယ်ပြတ်တောက်နေ,ဟားမတ်စ်တပ်ဖွဲ့ ခေါင်းဆောင်သစ်ခန့်ရန် ပြည်ပက စုံစမ်းရှာဖွေနေ,ဂါဇာအဟားမတ်စ်အဖွဲ့ခေါင်းဆောင်များအစ္စရေးအစ္စရေးပြော
ကနေဒါက ယူကရိန်းကို ဒရုန်းအစင်း ၈၀၀ ကျော် ပေးမည်,ကနေဒါတွင် မစ်ရှင်အစုံသုံး SkyRanger R70 ဒရုန်းအစင်း ၈၀၀ ကျော်ကို ယူကရိန်းဆီလှူဒါန်း,ကနေဒါက ဒရုန်းအစင်း ၈၀၀ ကျော် ယူကရိန်းသို့ လှူဒါန်းမည်,ကကရိန်းကိုအ၀၀၀၀၀၀၀၀၀၀၀၀၀၀၀
ယူကရိန်းတွင် ကျဆုံးစစ်သည်များ၏ အေးခဲသုတ်ပိုးဖြင့် ကလေးယူခွင့်ပြုမည်,ယူကရိန်းတွင် ကျဆုံးစစ်သည်တော်များ၏ သုတ်ပိုးနှင့် မမျိုးဥမှ ကလေးယူခွင့်ပြုရန် ဥပဒေကြမ်း အတည်ပြု,ယူကရိန်းတွင် မမျိုးဥမှ ကလေးယူခွင့်ပြုရန် ဥပဒေကြမ်း အတည်ပြု,ယူကရိန်းအအအအအအအအအအအအအအအ
